left,right,adjust_px
a,a,-1
a,f,-1
a,h,-1
a,i,-1
a,j,-1
a,m,-1
a,n,-1
a,s,-1
a,x,-1
z,z,-1
b,j,-1
b,x,-1
b,z,-1
c,a,-1
c,f,-1
c,h,-1
c,i,-1
c,j,-1
c,m,01
c,n,-1
c,s,-1
c,x,-1
c,z,-1
d,a,-1
d,f,-1
d,h,-1
d,i,-1
d,m,-1
d,n,-1
d,s,-1
d,x,-1
d,z,-1
e,a,-1
e,f,-1
e,h,-1
e,i,-1
e,j,-1
e,m,-1
e,n,-1
e,s,-1
e,x,-1
e,z,-1
f,a,-1
f,c,-1
f,d,-1
f,e,-1
f,g,-1
f,i,-1
f,j,-1
f,o,-1
f,q,-1
f,s,-1
g,j,-1
g,x,-1
g,z,-1
n,z,-1
o,j,-1
o,x,-1
o,z,-1
p,j,-1
p,x,-1
p,z,-1
q,x,-1
q,z,-1
r,a,-1
r,f,-1
r,t,+1
r,i,-1
r,j,-1
r,m,-1
r,n,-1
r,s,-1
r,t,-1
r,x,-1
r,z,-1
r,A,-1
r,F,-1
r,H,-1
r,I,-1
r,J,-1
r,K,-1
r,L,-1
r,N,-1
r,S,-1
r,X,-1
u,x,-1
u,z,-1
v,a,-1
v,f,-1
v,h,-1
v,j,-1
v,m,-1
v,n,-1
v,s,-1
v,x,-1
v,z,-1
w,l,+1
w,r,+1
w,t,+1
w,u,+1
w,v,+1
y,a,-1
y,f,-1
y,h,-1
y,i,-1
y,m,-1
y,n,-1
y,s,-1
y,z,-1
y,z,-1
z,v,+1
A,t,+1
a,A,-1
a,F,-1
a,H,-1
a,I,-1
a,J,-1
a,K,-1
a,L,-1
a,N,-1
a,S,-1
a,T,-1
a,X,-1
a,Y,-1
a,Z,-1
B,j,-1
B,x,-1
B,z,-1
b,I,-1
b,X,-1
b,Y,-1
c,A,-1
c,F,-1
c,H,-1
c,I,-1
c,J,-1
c,K,-1
c,L,-1
c,N,-1
c,S,-1
c,T,-1
c,X,-1
c,Y,-1
c,Z,-1
D,x,-1
D,z,-1
d,A,-1
d,F,-1
d,H,-1
d,K,-1
d,L,-1
d,N,-1
d,T,+1
d,V,+1
d,Y,+1
e,A,-1
e,F,-1
e,H,-1
e,I,-1
e,J,-1
e,K,-1
e,L,-1
e,N,-1
e,S,-1
e,T,-1
e,X,-1
e,Y,-1
e,Z,-1
F,a,-1
F,c,-1
F,d,-1
F,e,-1
F,g,-1
F,j,-1
F,m,-1
F,o,-1
F,p,-1
F,q,-1
F,s,-1
F,u,-1
F,v,-1
F,w,-1
F,x,-1
F,y,-1
F,z,-1
G,j,-1
G,x,-1
G,z,-1
g,I,-1
g,T,-1
g,X,-1
H,a,-1
h,T,-1
j,V,-1
j,Y,-1
l,T,+1
l,V,+1
l,Y,+1
M,z,-1
N,j,+1
N,k,+1
N,t,+1
N,v,+1
N,w,+1
n,I,-1
n,X,-1
n,Y,-1
O,a,-1
O,f,-1
O,h,-1
O,i,-1
O,j,-1
O,m,-1
O,n,-1
O,s,-1
O,x,-1
O,z,-1
o,I,-1
o,T,-1
o,X,-1
o,Y,-1
P,t,+1
P,v,+1
P,w,+1
p,I,-1
p,T,-1
p,X,-1
p,Y,-1
Q,a,-1
Q,f,-1
Q,h,-1
Q,i,-1
Q,m,-1
Q,n,-1
Q,s,-1
Q,x,-1
Q,z,-1
q,I,-1
q,T,-1
q,X,-1
R,j,+1
t,R,+1
t,Y,+1
T,a,-2
T,c,-2
T,d,-2
T,e,-2
T,f,-1
T,g,-2
T,h,-1
T,i,-1
T,j,-2
T,l,-1
T,m,-2
T,n,-2
T,o,-2
T,p,-2
T,q,-2
T,r,-2
T,s,-2
T,u,-2
T,v,-2
T,w,-2
T,x,-2
T,y,-2
T,z,-2
U,a,-1
U,f,-1
U,h,-1
U,i,-1
U,m,-1
U,n,-1
U,s,-1
U,x,-1
U,z,-1
u,T,-1
a,A,-1
a,F,-1
a,H,-1
v,I,-1
v,J,-1
v,K,-1
v,L,-1
v,N,-1
v,S,-1
v,T,-1
v,X,-1
v,Z,-1
V,s,-1
V,t,+1
W,a,-1
W,s,-1
w,B,+1
w,C,+1
w,D,+1
w,E,+1
w,M,+1
w,P,+1
w,Q,+1
w,R,+1
w,U,+1
w,V,+1
a,A,-1
y,F,-1
y,I,-1
i,t,+1
y,K,-1
y,L,-1
y,N,-1
y,S,-1
y,T,-1
y,X,-1
y,Z,-1
Y,a,-1
Y,c,-1
Y,d,-1
Y,e,-1
Y,g,-1
Y,i,-1
Y,j,-1
Y,o,-1
Y,q,-1
Y,s,-1
Y,t,+1
A,T,+1
A,V,+1
A,Y,+1
B,T,+1
B,Y,+1
C,T,+1
C,V,+1
C,Y,+1
D,I,-1
D,X,-1
D,Y,+1
E,T,+1
E,V,+1
E,Y,+1
F,I,+1
F,T,+1
F,U,+1
F,V,+1
F,Y,+1
F,Z,+1
G,X,-1
G,Y,+1
H,T,+1
H,V,+1
H,Y,+1
I,T,+1
I,V,+1
I,Y,+1
J,T,+1
J,V,+1
J,Y,+1
M,T,+1
M,X,-1
M,Y,+1
N,P,+1
N,R,+1
N,T,+1
N,V,+1
N,Y,+2
O,A,-1
O,F,-1
O,H,-1
O,I,-1
O,J,-1
O,K,-1
O,L,-1
O,N,-1
O,S,-1
O,T,+1
O,X,-1
O,Y,+1
P,T,+1
P,V,+1
P,Y,+1
Q,A,-1
Q,F,-1
Q,H,-1
Q,I,-1
Q,J,-1
Q,K,-1
Q,L,-1
Q,N,-1
Q,S,-1
Q,T,+1
Q,X,-1
Q,Y,+1
R,T,+1
R,Y,+1
s,t,+1
S,T,+1
S,Y,+1
T,A,-1
T,C,-1
T,D,-1
T,F,-1
T,H,-1
T,K,-1
T,L,-1
T,N,-1
T,V,+1
T,Y,+1
U,A,-1
U,F,-1
U,H,-1
U,I,-1
U,K,-1
U,L,-1
U,N,-1
U,S,-1
U,T,+1
U,X,-1
U,Y,+1
W,T,+1
W,V,+1
W,Y,+1
x,t,+1
X,T,+1
N,r,+1
X,V,+1
X,Y,+1
Y,T,+1
Z,T,+1
Z,V,+1
Z,Y,+1
s,r,+1
s,e,+1
x,Y,+1
I,"'",+1
